phenomenon;sentence_good;sentence_bad
ARG. STR.;Helena tillfrågar professorn om drycken;Helena seglar professorn om drycken
ARG. STR.;Hanna hugger lektorn med kniven;Hanna simmar lektorn med kniven
ARG. STR.;Freja får rektorn i paketet;Freja står rektorn i paketet
ARG. STR.;Fredrik beställer pedagogen på sjön;Fredrik snarkar pedagogen på sjön
ARG. STR.;Flora avbeställer forskaren från staden;Flora stirrar forskaren från staden
ARG. STR.;Fanny samlar bitarna från skorna;Fanny glänser bitarna från skorna
ARG. STR.;Eva kastar lögnen över ugnen;Eva ljuger lögnen över ugnen
ARG. STR.;Erika delar fysikern bredvid bollen;Erika hoppar fysikern bredvid bollen
ARG. STR.;Erik smiskar astronomen på näsan;Erik uppträder astronomen på näsan
ARG. STR.;Emanuel tolkar gitarrsolot bakom gården;Emanuel lyssnar gitarrsolot bakom gården
ARG. STR.;Ellen förklarar geologen genom leksaken;Ellen skrider geologen genom leksaken
ARG. STR.;Elias beskriver filosofen utan dikten;Elias ramlar filosofen utan dikten
ARG. STR.;Ebba översätter teologen med artikeln;Ebba berättar teologen med artikeln
ARG. STR.;Dick anmäler barnen till polisen;Dick skrattar barnen till polisen
ARG. STR.;Daniel avslutar beskrivningen i novellen;Daniel händer beskrivningen i novellen
ARG. STR.;Christine påbörjar arbetet med ringen;Christine sker arbetet med ringen
ARG. STR.;Christel inleder talet för familjen;Christel myser talet för familjen
ARG. STR.;Caroline avbryter löparen hos frisören;Caroline löper löparen hos frisören
ARG. STR.;Björn kliar barnet vid äppelträdet;Björn skäller barnet vid äppelträdet
ARG. STR.;Beata river kudden på kontoret;Beata somnar kudden på kontoret
ARG. STR.;Anna-Lena räddar matrosen i situationen;Anna-Lena darrar matrosen i situationen
ARG. STR.;Anna förstör samtalet om relationen;Anna talar samtalet om relationen
ARG. STR.;Ann-Katrin anmäler blomman på bänken;Ann-Katrin växer blomman på bänken
ARG. STR.;Anders översätter fotografiet på filmen;Anders bleknar fotografiet på filmen
ARG. STR.;Alice odlar vikterna i gymmet;Alice gymmar vikterna i gymmet
ARG. STR.;Alf klandrar parfymen i affären;Alf doftar parfymen i affären
ARG. STR.;Alexander hindrar kaffet i kannan;Alexander luktar kaffet i kannan
ARG. STR.;Albin hindrar huset på kullen;Albin bor huset på kullen
ARG. STR.;Alba kastar tårarna på kudden;Alba gråter tårarna på kudden
ARG. STR.;Aina påverkar hunden i parken;Aina skäller hunden i parken
ARG. STR.;Ahmed köper golvet i badrummet;Ahmed kryper golvet i badrummet
ARG. STR.;Adina påminner bassängen i badhuset;Adina simmar bassängen i badhuset
ARG. STR.;Adam skapar fåtöljen i huset;Adam sover fåtöljen i huset
DOUBLE DEF.;Den röda stolen stod i rummet;Den röda stol stod i rummet
DOUBLE DEF.;Den bruna hästen gick i hagen;Den bruna häst gick i hagen
DOUBLE DEF.;Den stora stolen stod i rummet;Den stora stol stod i rummet
DOUBLE DEF.;Den lilla hästen gick i hagen;Den lilla häst gick i hagen
DOUBLE DEF.;Den gamla gubben somnade på rummet;Den gamla gubbe somnade på rummet
DOUBLE DEF.;Den unga killen levde i hagen;Den kille bok levde i hagen
DOUBLE DEF.;Den nya pennan levde under huset;Den nya penna levde under huset
DOUBLE DEF.;Den långa blomman dog bakom staden;Den långa blomma dog bakom staden
DOUBLE DEF.;Den korta flickan sov framför köket;Den korta flicka sov framför köket
DOUBLE DEF.;Den höga pojken sov i berget;Den höga pojke sov i berget
DOUBLE DEF.;Den låga cykeln föll genom fältet;Den låga cykel föll genom fältet
DOUBLE DEF.;Den snabba bilen sprack vid torget;Den snabba bil sprack vid torget
DOUBLE DEF.;Den långsamma kråkan simmade på havet;Den långsamma kråka simmade på havet
DOUBLE DEF.;Den vackra hunden vandrade i vattnet;Den vackra hund vandrade i vattnet
DOUBLE DEF.;Den fula katten promenerade under trädet;Den fula katt promenerade under trädet
DOUBLE DEF.;Den dyra råttan sprang över golvet;Den dyra råtta sprang över golvet
DOUBLE DEF.;Den billiga roboten stannade framför bordet;Den billiga robot stannade framför bordet
DOUBLE DEF.;Den tunga mattan försvann genom fönstret;Den tunga matta försvann genom fönstret
DOUBLE DEF.;Den lätta jackan kom genom taket;Den lätta jacka kom genom taket
DOUBLE DEF.;Den enkla döingen gick vid berget;Den enkla döing gick vid berget
DOUBLE DEF.;Den svåra dörren låg på havet;Den svåra dörr låg på havet
DOUBLE DEF.;Den glada fisken simmade i sjön;Den glada fisk simmade i sjön
DOUBLE DEF.;Den ledsna soffan rullade under ängen;Den ledsna soffa rullade under ängen
DOUBLE DEF.;Den arga kudden växte bakom skogen;Den arga kudde växte bakom skogen
DOUBLE DEF.;Den lugna påsen trevade framför berget;Den lugna påse trevade framför berget
DOUBLE DEF.;Den oroliga stämningen sjönk över diket;Den oroliga stämning sjönk över diket
DOUBLE DEF.;Den trötta klockan flöt genom hålet;Den trötta klocka flöt genom hålet
DOUBLE DEF.;Den pigg­a lampan sken vid röret;Den pigg­a lampa sken vid röret
DOUBLE DEF.;Den sjuka skuren regnade på tornet;Den sjuka skur regnade på tornet
DOUBLE DEF.;Den friska bollen låg i slottet;Den friska boll låg i slottet
DOUBLE DEF.;Den fina bollen rullade under palatset;Den fina boll rullade under palatset
DOUBLE DEF.;Den elaka mannen vandrade bakom templet;Den elaka man vandrade bakom templet
DOUBLE DEF.;Den snälla apan sov framför kapellet;Den snälla apa sov framför kapellet
DOUBLE DEF.;Den kloka fisken tinade bredvid torpet;Den kloka fisk tinade bredvid torpet
DOUBLE DEF.;Den dumma karavanen surfade på snön;Den dumma karavan surfade på snön
DOUBLE DEF.;Den rika stugan brann vid förrådet;Den rika stuga brann vid förrådet
DOUBLE DEF.;Den fattiga gården uppstod på vinden;Den fattiga gård uppstod på vinden
DOUBLE DEF.;Den mörka fågeln hängde i källaren;Den mörka fågel hängde i källaren
DOUBLE DEF.;Den ljusa ankan syntes under badrummet;Den ljusa anka syntes under badrummet
DOUBLE DEF.;Den varma tavlan fanns bakom sovrummet;Den varma tavla fanns bakom sovrummet
DOUBLE DEF.;Den kalla lådan uppstod framför vardagsrummet;Den kalla låda uppstod framför vardagsrummet
DOUBLE DEF.;Den torra tavlan tillkom över biblioteket;Den torra tavla tillkom över biblioteket
DOUBLE DEF.;Den blöta kamelen satt i kontoret;Den blöta kamel satt i kontoret
DOUBLE DEF.;Den mjuka väskan stod vid klassrummet;Den mjuka väska stod vid klassrummet
DOUBLE DEF.;Den hårda skeden låg på kafét;Den hårda sked låg på kafét
DOUBLE DEF.;Den rena stjärnan vilade i varuhuset;Den rena stjärna vilade i varuhuset
DOUBLE DEF.;Den smutsiga månen sov under hotellet;Den smutsiga måne sov under hotellet
DOUBLE DEF.;Den söta solen kröp bakom motellet;Den söta sol kröp bakom motellet
DOUBLE DEF.;Den sura skalbaggen kravlade framför teatern;Den sura skalbagge kravlade framför teatern
DOUBLE DEF.;Den bittra katten smög över museet;Den bittra katt smög över museet
DOUBLE DEF.;Den salta kossan gick genom galleriet;Den salta kossa gick genom galleriet
DOUBLE DEF.;Den starka zebran galopperade vid fängelset;Den starka zebra galopperade vid fängelset
DOUBLE DEF.;Den svaga kakan fanns på sjukhuset;Den svaga kaka fanns på sjukhuset
DOUBLE DEF.;Den sneda bananen försvann från dagiset;Den sneda banan försvann från dagiset
DOUBLE DEF.;Den raka vålnaden vandrade under universitetet;Den raka vålnad vandrade under universitetet
DOUBLE DEF.;Den öppna flugan irrade bakom campuset;Den öppna fluga irrade bakom campuset
DOUBLE DEF.;Den stängda spindeln flydde bakom labbet;Den stängda spindel flydde bakom labbet
DOUBLE DEF.;Den fria skivan störtade över gymmet;Den fria skiva störtade över gymmet
DOUBLE DEF.;Den fångna spiken kollapsade i köket;Den fångna spik kollapsade i köket
DOUBLE DEF.;Den dåliga handduken låg vid toaletten;Den dåliga handduk låg vid toaletten
DOUBLE DEF.;Den goda koalan stod i hallen;Den goda koala stod i hallen
DOUBLE DEF.;Den bästa studenten levde i trapphuset;Den bästa student levde i trapphuset
DOUBLE DEF.;Den värsta sången hördes från föreläsningssalen;Den värsta sång hördes från föreläsningssalen
DOUBLE DEF.;Den värdefulla olyckan inträffade bakom studion;Den värdefulla olycka inträffade bakom studion
DOUBLE DEF.;Den meningslösa striden pågick framför ateljén;Den meningslösa strid pågick framför ateljén
DOUBLE DEF.;Den roliga guden existerade i verkstaden;Den roliga gud existerade i verkstaden
DOUBLE DEF.;Den tråkiga vagnen tillkom i fabriken;Den tråkiga vagn tillkom i fabriken
DOUBLE DEF.;Den viktiga branden utvecklades vid butiken;Den viktiga brand utvecklades vid butiken
DOUBLE DEF.;Den oviktiga gasten smög på affären;Den oviktiga gast smög på affären
DOUBLE DEF.;Den tydliga elden brann på marknaden;Den tydliga eld brann på marknaden
DOUBLE DEF.;Den otydliga stjärnan sken under gården;Den otydliga stjärna sken under gården
DOUBLE DEF.;Den fasta älgen simmade bakom ladan;Den fasta älg simmade bakom ladan
DOUBLE DEF.;Den lösa cowboyen inträdde i logen;Den lösa cowboy inträdde i logen
DOUBLE DEF.;Den djupa sägnen vandrade i byn;Den djupa sägen vandrade i byn
DOUBLE DEF.;Den grunda berättelsen skenade genom fågelhuset;Den grunda berättelse skenade genom fågelhuset
DOUBLE DEF.;Den smala sången slumrade vid hundhuset;Den smala sång slumrade vid hundhuset
DOUBLE DEF.;Den breda skålen fanns i hundhuset;Den breda skål fanns i hundhuset
DOUBLE DEF.;Den tjocka filmen väntade i boet;Den tjocka film väntade i boet
DOUBLE DEF.;Den lilla låten tillkom under nästet;Den lilla låt tillkom under nästet
DOUBLE DEF.;Den största råttan tvekade bakom hålet;Den största råtta tvekade bakom hålet
DOUBLE DEF.;Den minsta korpen dök framför grottan;Den minsta korp dök framför grottan
DOUBLE DEF.;Den äldsta djävulen uppsteg ur gruvan;Den äldsta djävul uppsteg ur gruvan
DOUBLE DEF.;Den yngsta demonen nedsteg från berget;Den yngsta demon nedsteg från berget
DOUBLE DEF.;Den nyaste frågan hängde i luften;Den nyaste fråga hängde i luften
DOUBLE DEF.;Den senaste insekten syntes på stenen;Den senaste insekt syntes på stenen
DOUBLE DEF.;Den första handen vacklade i sandtaget;Den första hand vacklade i sandtaget
DOUBLE DEF.;Den sista foten sov under fältet;Den sista fot sov under fältet
DOUBLE DEF.;Den andra näsan hängde bakom dalen;Den andra näsa hängde bakom dalen
DOUBLE DEF.;Den tredje åsnan gick framför åsen;Den tredje åsna gick framför åsen
DOUBLE DEF.;Den fjärde kroppen låg på heden;Den fjärde kropp låg på heden
DOUBLE DEF.;Den femte fisken sov på myren;Den femte fisk sov på myren
DOUBLE DEF.;Den sjätte armen väntade vid träsket;Den sjätte arm väntade vid träsket
DOUBLE DEF.;Den sjunde hästen skenade genom parken;Den sjunde häst skenade genom parken
DOUBLE DEF.;Den åttonde sången slumrade i lekandet;Den åttonde sång slumrade i lekandet
DOUBLE DEF.;Den nionde röksvansen utvecklades på området;Den nionde röksvans utvecklades på området
DOUBLE DEF.;Den tionde ugnen dog bakom kvarteret;Den tionde ugn dog bakom kvarteret
DOUBLE DEF.;Den elfte hyenan sprang framför distriktet;Den elfte hyena sprang framför distriktet
DOUBLE DEF.;Den tolvte psalmen lurade över landet;Den tolvte psalm lurade över landet
DOUBLE DEF.;Den äckliga muren sköt genom landet;Den äckliga psalm sköt genom landet
DOUBLE DEF.;Den otacksamma gumman luskade på hämnden;Den otacksamma gumma luskade på hämnden
ART. NOUN AGR. INDEF.;En stol stod i rummet;En stolen stod i rummet
ART. NOUN AGR. INDEF.;En häst gick i hagen;En hästen gick i hagen
ART. NOUN AGR. INDEF.;En kille stod i vardagsrummet;En killen stod i vardagsrummet
ART. NOUN AGR. INDEF.;En kossa gick i hagen;En kossan gick i hagen
ART. NOUN AGR. INDEF.;En man somnade på rummet;En mannen somnade på rummet
ART. NOUN AGR. INDEF.;En bok levde i hagen;En boken levde i hagen
ART. NOUN AGR. INDEF.;En penna levde under huset;En pennan levde under huset
ART. NOUN AGR. INDEF.;En blomma dog bakom staden;En blomman dog bakom staden
ART. NOUN AGR. INDEF.;En flicka sov framför köket;En flickan sov framför köket
ART. NOUN AGR. INDEF.;En pojke sov i berget;En pojken sov i berget
ART. NOUN AGR. INDEF.;En cykel föll genom fältet;En cykeln föll genom fältet
ART. NOUN AGR. INDEF.;En bil sprack vid torget;En bilen sprack vid torget
ART. NOUN AGR. INDEF.;En kråka simmade på havet;En kråkan simmade på havet
ART. NOUN AGR. INDEF.;En hund vandrade i vattnet;En hunden vandrade i vattnet
ART. NOUN AGR. INDEF.;En katt promenerade under trädet;En katten promenerade under trädet
ART. NOUN AGR. INDEF.;En råtta sprang över golvet;En råttan sprang över golvet
ART. NOUN AGR. INDEF.;En robot stannade framför bordet;En roboten stannade framför bordet
ART. NOUN AGR. INDEF.;En matta försvann genom fönstret;En mattan försvann genom fönstret
ART. NOUN AGR. INDEF.;En jacka kom genom taket;En jackan kom genom taket
ART. NOUN AGR. INDEF.;En döing gick vid berget;En döingen gick vid berget
ART. NOUN AGR. INDEF.;En dörr låg på havet;En dörren låg på havet
ART. NOUN AGR. INDEF.;En fisk simmade i sjön;En fisken simmade i sjön
ART. NOUN AGR. INDEF.;En soffa rullade under ängen;En soffan rullade under ängen
ART. NOUN AGR. INDEF.;En kudde växte bakom skogen;En kudden växte bakom skogen
ART. NOUN AGR. INDEF.;En påse trevade framför berget;En påsen trevade framför berget
ART. NOUN AGR. INDEF.;En stämning sjönk över diket;En stämningen sjönk över diket
ART. NOUN AGR. INDEF.;En klocka flöt genom hålet;En klockan flöt genom hålet
ART. NOUN AGR. INDEF.;En lampa sken vid röret;En lampan sken vid röret
ART. NOUN AGR. INDEF.;En skur regnade på tornet;En skuren regnade på tornet
ART. NOUN AGR. INDEF.;En boll låg i slottet;En bollen låg i slottet
ART. NOUN AGR. INDEF.;En boll rullade under palatset;En bollen rullade under palatset
ART. NOUN AGR. INDEF.;En man vandrade bakom templet;En mannen vandrade bakom templet
ART. NOUN AGR. INDEF.;En apa sov framför kapellet;En apan sov framför kapellet
ART. NOUN AGR. INDEF.;En fisk tinade bredvid torpet;En fisken tinade bredvid torpet
ART. NOUN AGR. INDEF.;En karavan surfade på snön;En karavanen surfade på snön
ART. NOUN AGR. INDEF.;En stuga brann vid förrådet;En stugan brann vid förrådet
ART. NOUN AGR. INDEF.;En gård uppstod på vinden;En gården uppstod på vinden
ART. NOUN AGR. INDEF.;En fågel hängde i källaren;En fågeln hängde i källaren
ART. NOUN AGR. INDEF.;En anka syntes under badrummet;En ankan syntes under badrummet
ART. NOUN AGR. INDEF.;En tavla fanns bakom sovrummet;En tavlan fanns bakom sovrummet
ART. NOUN AGR. INDEF.;En låda uppstod framför vardagsrummet;En lådan uppstod framför vardagsrummet
ART. NOUN AGR. INDEF.;En tavla tillkom över biblioteket;En tavlan tillkom över biblioteket
ART. NOUN AGR. INDEF.;En kamel satt i kontoret;En kamelen satt i kontoret
ART. NOUN AGR. INDEF.;En väska stod vid klassrummet;En väskan stod vid klassrummet
ART. NOUN AGR. INDEF.;En sked låg på kafét;En skeden låg på kafét
ART. NOUN AGR. INDEF.;En stjärna vilade i varuhuset;En stjärnan vilade i varuhuset
ART. NOUN AGR. INDEF.;En måne sov under hotellet;En månen sov under hotellet
ART. NOUN AGR. INDEF.;En sol kröp bakom motellet;En solen kröp bakom motellet
ART. NOUN AGR. INDEF.;En skalbagge kravlade framför teatern;En skalbaggen kravlade framför teatern
ART. NOUN AGR. INDEF.;En katt smög över museet;En katten smög över museet
ART. NOUN AGR. INDEF.;En kossa gick genom galleriet;En kossan gick genom galleriet
ART. NOUN AGR. INDEF.;En zebra galopperade vid fängelset;En zebran galopperade vid fängelset
ART. NOUN AGR. INDEF.;En kaka fanns på sjukhuset;En kakan fanns på sjukhuset
ART. NOUN AGR. INDEF.;En banan försvann från dagiset;En bananen försvann från dagiset
ART. NOUN AGR. INDEF.;En vålnad vandrade under universitetet;En vålnaden vandrade under universitetet
ART. NOUN AGR. INDEF.;En fluga irrade bakom campuset;En flugan irrade bakom campuset
ART. NOUN AGR. INDEF.;En spindel flydde bakom labbet;En spindeln flydde bakom labbet
ART. NOUN AGR. INDEF.;En skiva störtade över gymmet;En skivan störtade över gymmet
ART. NOUN AGR. INDEF.;En spik kollapsade i köket;En spiken kollapsade i köket
ART. NOUN AGR. INDEF.;En handduk låg vid toaletten;En handduken låg vid toaletten
ART. NOUN AGR. INDEF.;En koala stod i hallen;En koalan stod i hallen
ART. NOUN AGR. INDEF.;En student levde i trapphuset;En studenten levde i trapphuset
ART. NOUN AGR. INDEF.;En sång hördes från föreläsningssalen;En sången hördes från föreläsningssalen
ART. NOUN AGR. INDEF.;En olycka inträffade bakom studion;En olyckan inträffade bakom studion
ART. NOUN AGR. INDEF.;En strid pågick framför ateljén;En striden pågick framför ateljén
ART. NOUN AGR. INDEF.;En gud existerade i verkstaden;En guden existerade i verkstaden
ART. NOUN AGR. INDEF.;En vagn tillkom i fabriken;En vagnen tillkom i fabriken
ART. NOUN AGR. INDEF.;En brand utvecklades vid butiken;En branden utvecklades vid butiken
ART. NOUN AGR. INDEF.;En gast smög på affären;En gasten smög på affären
ART. NOUN AGR. INDEF.;En eld brann på marknaden;En elden brann på marknaden
ART. NOUN AGR. INDEF.;En stjärna sken under gården;En stjärnan sken under gården
ART. NOUN AGR. INDEF.;En älg simmade bakom ladan;En älgen simmade bakom ladan
ART. NOUN AGR. INDEF.;En cowboy inträdde i logen;En cowboyen inträdde i logen
ART. NOUN AGR. INDEF.;En sägen vandrade i byn;En sägnen vandrade i byn
ART. NOUN AGR. INDEF.;En berättelse skenade genom fågelhuset;En berättelsen skenade genom fågelhuset
ART. NOUN AGR. INDEF.;En sång slumrade vid hundhuset;En sången slumrade vid hundhuset
ART. NOUN AGR. INDEF.;En skål fanns i hundhuset;En skålen fanns i hundhuset
ART. NOUN AGR. INDEF.;En film väntade i boet;En filmen väntade i boet
ART. NOUN AGR. INDEF.;En låt tillkom under nästet;En låten tillkom under nästet
ART. NOUN AGR. INDEF.;En råtta tvekade bakom hålet;En råttan tvekade bakom hålet
ART. NOUN AGR. INDEF.;En korp dök framför grottan;En korpen dök framför grottan
ART. NOUN AGR. INDEF.;En djävul uppsteg ur gruvan;En djävulen uppsteg ur gruvan
ART. NOUN AGR. INDEF.;En demon nedsteg från berget;En demonen nedsteg från berget
ART. NOUN AGR. INDEF.;En fråga hängde i luften;En frågan hängde i luften
ART. NOUN AGR. INDEF.;En insekt syntes på stenen;En insekten syntes på stenen
ART. NOUN AGR. INDEF.;En hand vacklade i sandtaget;En handen vacklade i sandtaget
ART. NOUN AGR. INDEF.;En fot sov under fältet;En foten sov under fältet
ART. NOUN AGR. INDEF.;En näsa hängde bakom dalen;En näsan hängde bakom dalen
ART. NOUN AGR. INDEF.;En åsna gick framför åsen;En åsnan gick framför åsen
ART. NOUN AGR. INDEF.;En kropp låg på heden;En kroppen låg på heden
ART. NOUN AGR. INDEF.;En fisk sov på myren;En fisken sov på myren
ART. NOUN AGR. INDEF.;En arm väntade vid träsket;En armen väntade vid träsket
ART. NOUN AGR. INDEF.;En häst skenade genom parken;En hästen skenade genom parken
ART. NOUN AGR. INDEF.;En sång slumrade i lekandet;En sången slumrade i lekandet
ART. NOUN AGR. INDEF.;En röksvans utvecklades på området;En röksvansen utvecklades på området
ART. NOUN AGR. INDEF.;En ugn dog bakom kvarteret;En ugnen dog bakom kvarteret
ART. NOUN AGR. INDEF.;En hyena sprang framför distriktet;En hyenan sprang framför distriktet
ART. NOUN AGR. INDEF.;En psalm lurade över landet;En psalmen lurade över landet
ART. NOUN AGR. INDEF.;En kyrka försvann i riket;En kyrkan försvann i riket
ART. NOUN AGR. INDEF.;En blomma uppstod vid kungariket;En blomman uppstod vid kungariket
ART. NOUN AGR. GEN.;Det stod en stol i rummet;Det stod ett stol i rummet
ART. NOUN AGR. GEN.;Det gick en häst i hagen;Det gick ett häst i hagen
ART. NOUN AGR. GEN.;Det somnade en man på rummet;Det somnade ett man på rummet
ART. NOUN AGR. GEN.;Det levde en bok i hagen;Det levde ett bok i hagen
ART. NOUN AGR. GEN.;Det levde en penna under huset;Det levde ett penna under huset
ART. NOUN AGR. GEN.;Det dog en blomma bakom staden;Det dog ett blomma bakom staden
ART. NOUN AGR. GEN.;Det sov en flicka framför köket;Det sov ett flicka framför köket
ART. NOUN AGR. GEN.;Det sov en pojke i berget;Det sov ett pojke i berget
ART. NOUN AGR. GEN.;Det föll en cykel genom fältet;Det föll ett cykel genom fältet
ART. NOUN AGR. GEN.;Det sprack en bil vid torget;Det sprack ett bil vid torget
ART. NOUN AGR. GEN.;Det simmade en kråka på havet;Det simmade ett kråka på havet
ART. NOUN AGR. GEN.;Det vandrade en hund i vattnet;Det vandrade ett hund i vattnet
ART. NOUN AGR. GEN.;Det promenerade en katt under trädet;Det promenerade ett katt under trädet
ART. NOUN AGR. GEN.;Det sprang en råtta över golvet;Det sprang ett råtta över golvet
ART. NOUN AGR. GEN.;Det stannade en robot framför bordet;Det stannade ett robot framför bordet
ART. NOUN AGR. GEN.;Det försvann en matta genom fönstret;Det försvann ett matta genom fönstret
ART. NOUN AGR. GEN.;Det kom en jacka genom taket;Det kom ett jacka genom taket
ART. NOUN AGR. GEN.;Det gick en döing vid berget;Det gick ett döing vid berget
ART. NOUN AGR. GEN.;Det låg en dörr på havet;Det låg ett dörr på havet
ART. NOUN AGR. GEN.;Det simmade en fisk i sjön;Det simmade ett fisk i sjön
ART. NOUN AGR. GEN.;Det rullade en soffa under ängen;Det rullade ett soffa under ängen
ART. NOUN AGR. GEN.;Det växte en kudde bakom skogen;Det växte ett kudde bakom skogen
ART. NOUN AGR. GEN.;Det trevade en påse framför berget;Det trevade ett påse framför berget
ART. NOUN AGR. GEN.;Det sjönk en stämning över diket;Det sjönk ett stämning över diket
ART. NOUN AGR. GEN.;Det flöt en klocka genom hålet;Det flöt ett klocka genom hålet
ART. NOUN AGR. GEN.;Det sken en lampa vid röret;Det sken ett lampa vid röret
ART. NOUN AGR. GEN.;Det regnade en skur på tornet;Det regnade ett skur på tornet
ART. NOUN AGR. GEN.;Det låg en boll i slottet;Det låg ett boll i slottet
